"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"287","False","1","False","False","True","0","0","0","0","False","False","none","True"
"288","False","0","False","False","False","1","0","0","0","False","False","none","True"
"289","False","0","False","False","False","0","0","0","0","False","False","none","True"
"290","False","0","False","False","True","0","0","0","0","False","False","none","True"
"291","False","1","False","False","True","0","0","0","0","False","False","none","True"
"292","False","1","False","False","True","0","29","12","20","False","False","none","True"
"293","False","0","False","False","True","0","0","0","0","False","False","other","True"
"294","False","1","False","False","False","0","0","0","0","False","False","none","True"
"295","False","0","False","False","False","0","0","0","0","False","False","8bit","True"
"296","False","1","False","False","False","0","0","0","0","False","False","none","True"
"297","False","0","False","False","False","0","0","0","0","False","False","other","True"
"298","False","0","False","False","False","0","0","0","0","False","False","none","True"
"299","False","0","False","False","True","0","0","0","0","False","False","none","True"
"300","False","1","False","False","True","0","0","0","0","False","False","none","True"
"301","False","0","False","False","False","1","0","0","0","False","False","none","True"
"302","False","0","False","False","True","0","0","0","0","False","False","other","True"
"303","False","0","False","False","True","0","0","0","0","False","False","other","True"
"304","False","1","False","False","True","0","0","0","0","False","False","none","True"
"305","False","0","False","False","True","0","0","0","0","False","False","none","True"
"306","False","0","False","False","True","0","0","0","0","False","False","other","True"
"307","False","0","False","False","True","0","0","0","0","False","False","8bit","True"
"308","False","0","False","False","True","0","0","0","0","False","False","other","True"
"309","False","1","False","False","True","0","0","0","0","False","False","none","True"
"310","False","0","False","False","False","6","0","0","0","False","False","none","True"
"311","False","0","False","False","True","0","0","0","0","False","False","none","True"
"312","False","0","False","False","False","4","0","0","0","False","False","none","True"
"313","False","0","False","False","True","1","0","0","0","False","False","other","True"
"314","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"315","False","0","False","False","True","2","0","0","0","False","False","none","True"
"316","False","0","False","False","True","0","0","0","0","False","False","none","True"
"317","False","0","False","False","True","0","2","0","2","False","False","7bit","True"
"318","False","0","False","False","True","0","2","0","2","False","False","7bit","True"
"319","False","0","False","False","True","0","0","0","0","False","False","none","True"
"320","False","0","False","False","True","10","0","0","0","False","False","other","True"
"321","False","0","False","False","False","9","0","0","0","False","False","none","True"
"322","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"323","False","0","False","False","True","44","0","0","0","False","False","none","True"
"324","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"325","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"326","False","0","False","False","True","0","0","0","0","False","False","none","True"
"327","False","0","False","False","True","7","0","0","0","False","False","none","True"
"328","False","0","False","False","False","10","0","0","0","False","False","none","True"
"329","False","0","False","False","True","5","1","0","1","False","True","none","True"
"330","False","0","False","False","True","18","0","0","0","False","False","other","True"
"331","False","0","False","False","True","0","0","0","0","False","False","none","True"
"332","False","0","False","False","True","0","0","0","0","False","False","none","True"
"333","False","0","False","False","True","0","0","0","0","False","False","none","True"
"334","False","0","False","False","False","2","0","0","0","False","False","8bit","True"
"335","False","0","False","False","False","0","0","0","0","False","False","none","True"
